block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.13735151290893555,0.13680283725261688,0.09138645976781845,0.12304846942424774,0.1354110687971115,0.1341080665588379,0.1563829630613327,0.14341163635253906,0.15864601731300354,0.1387685239315033,0.10868716984987259,0.10489063709974289,0.10245876014232635,0.10334377735853195,0.2142411172389984
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.19056950509548187,0.1724228858947754,0.15529325604438782,0.1484343707561493,0.16959261894226074,0.17159181833267212,0.18856112658977509,0.20006415247917175,0.19089287519454956,0.19676806032657623,0.16943015158176422,0.15016767382621765,0.14575932919979095,0.14585895836353302,0.23849458992481232,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.22106951475143433,0.20929807424545288,0.1852368265390396,0.18133766949176788,0.186495840549469,0.1941414624452591,0.21279406547546387,0.22376152873039246,0.21811708807945251,0.21688932180404663,0.2162681370973587,0.19601836800575256,0.18018944561481476,0.18041086196899414,0.25991764664649963,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.25134608149528503,0.23372703790664673,0.22069519758224487,0.20283105969429016,0.20428422093391418,0.20871424674987793,0.22865793108940125,0.24373507499694824,0.24037684500217438,0.23625756800174713,0.23190541565418243,0.23693203926086426,0.21694135665893555,0.2090364545583725,0.28219959139823914,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.26330259442329407,0.2600310742855072,0.24513006210327148,0.23065397143363953,0.22061491012573242,0.22036509215831757,0.23933126032352448,0.2563306987285614,0.25696298480033875,0.26080068945884705,0.2453349381685257,0.2481374591588974,0.25463607907295227,0.24052001535892487,0.30017194151878357,,,,
6,0.4847526550292969,0.2940486967563629,0.26724424958229065,0.27018460631370544,0.2710045874118805,0.252711683511734,0.24728380143642426,0.23157241940498352,0.24766236543655396,0.26434415578842163,0.26819196343421936,0.2734959125518799,0.2700784504413605,0.2556820809841156,0.2626491189002991,0.27232736349105835,0.32359007000923157,,,,,
7,0.48510146141052246,0.29262545704841614,0.2747455835342407,0.278108149766922,0.2770395278930664,0.264693021774292,0.2588050961494446,0.25899961590766907,0.2692932188510895,0.27862513065338135,0.2842010259628296,0.2825453579425812,0.2785457372665405,0.26609185338020325,0.2787850499153137,0.3409258723258972,,,,,,
8,0.47904032468795776,0.3013724386692047,0.2843535244464874,0.2829474210739136,0.2882079482078552,0.27611231803894043,0.28148168325424194,0.2790769338607788,0.28096863627433777,0.29471513628959656,0.29011374711990356,0.290310800075531,0.2903514504432678,0.2755001187324524,0.35257962346076965,,,,,,,
9,0.4836409389972687,0.3103660047054291,0.2864703834056854,0.2943740487098694,0.3004213273525238,0.2953284680843353,0.2992762327194214,0.2875053584575653,0.296678751707077,0.3015482723712921,0.2989029884338379,0.30076757073402405,0.3013668656349182,0.35725218057632446,,,,,,,,
10,0.4812495708465576,0.306158185005188,0.2981148064136505,0.30459147691726685,0.3164287209510803,0.31143316626548767,0.30697470903396606,0.3029675781726837,0.30161136388778687,0.3111613392829895,0.3080470561981201,0.3085085451602936,0.3740706145763397,,,,,,,,,
11,0.4797866940498352,0.31395116448402405,0.3083253800868988,0.32052189111709595,0.3292236924171448,0.3195536434650421,0.3185502588748932,0.3082153797149658,0.31090790033340454,0.3204934298992157,0.31666356325149536,0.37664079666137695,,,,,,,,,,
12,0.4805845618247986,0.32387232780456543,0.329645574092865,0.33176472783088684,0.33753475546836853,0.33142605423927307,0.32436949014663696,0.31566178798675537,0.3201431334018707,0.3300950229167938,0.38465556502342224,,,,,,,,,,,
13,0.48731729388237,0.3437630236148834,0.34188857674598694,0.33910784125328064,0.34854283928871155,0.3372476100921631,0.3323182165622711,0.32240477204322815,0.3295287489891052,0.3899381458759308,,,,,,,,,,,,
14,0.4851195216178894,0.35201314091682434,0.3491639792919159,0.35036006569862366,0.3543231785297394,0.3451947569847107,0.3379983901977539,0.32905930280685425,0.3907347619533539,,,,,,,,,,,,,
15,0.4835687279701233,0.3578810393810272,0.3605338931083679,0.3544178903102875,0.3632132411003113,0.35109826922416687,0.34834566712379456,0.3926433026790619,,,,,,,,,,,,,,
