task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,9,9,0.07852385193109512
code,2,19,20,0.12498332560062408
code,3,9,11,0.1623384952545166
code,4,8,11,0.18959879875183105
code,5,7,11,0.20719654858112335
code,6,7,12,0.22563473880290985
code,7,6,12,0.24418425559997559
code,8,7,14,0.27005329728126526
code,9,3,11,0.2811491787433624
code,10,3,12,0.2920852303504944
code,11,3,13,0.3077283799648285
code,12,3,14,0.31952083110809326
code,13,3,15,0.3302914500236511
code,14,7,20,0.3429229259490967
code,15,1,15,0.35335052013397217
