task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,19,19,0.08818993717432022
code,2,18,19,0.12654098868370056
code,3,17,19,0.1681850701570511
code,4,8,11,0.19616301357746124
code,5,7,11,0.218378484249115
code,6,6,11,0.24142897129058838
code,7,7,13,0.26579445600509644
code,8,7,14,0.2809106707572937
code,9,3,11,0.2936846613883972
code,10,3,12,0.3058660328388214
code,11,3,13,0.3195352256298065
code,12,8,19,0.32960668206214905
code,13,7,19,0.3401779532432556
code,14,6,19,0.3547196686267853
code,15,1,15,0.3655666708946228
