task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,18,18,0.10275685042142868
math,2,18,19,0.14358189702033997
math,3,17,19,0.18243353068828583
math,4,8,11,0.2053472250699997
math,5,7,11,0.2257183939218521
math,6,7,12,0.251681923866272
math,7,12,18,0.26998046040534973
math,8,12,19,0.27761995792388916
math,9,8,16,0.2932102382183075
math,10,8,17,0.29931482672691345
math,11,8,18,0.3068930208683014
math,12,8,19,0.3123282194137573
math,13,7,19,0.32531750202178955
math,14,6,19,0.3487456142902374
math,15,5,19,0.3711247742176056
