block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,2.2245463641684644,-1.1577335997899654,-1.001516920178742,-1.311680843603398,-1.345510379266797,-1.4144428829759776,-1.4405958145055884,-1.5867654080334488,-1.7839201016745183,-1.855619642036607,-1.7256684224050167,-1.6847163748552108,-1.4086904725375415,-1.5836877229283575,-1.4874519954624459,-1.671891520151983,-1.894070361144717,-2.0103141066785373,-1.997192876937236,-2.0852807180316963,-0.622644981612485
2,2.2825664654554227,-0.4030132484017457,-0.5954710548678093,-0.7974166768664941,-0.8688412066515602,-0.8489193452472281,-1.027224903405313,-1.2847790858102148,-1.3870205119264456,-1.3973194174786077,-1.281084019875217,-1.1009793949223392,-1.0034118201136506,-1.0585741387375034,-1.0171346867195643,-1.25925319716691,-1.4639222173957371,-1.5512018538946561,-1.5780089932647714,-0.3464804217839357,
3,2.296764831348937,-0.11975030126307167,-0.33610480709948937,-0.49954571250634144,-0.5092099862499316,-0.5849914252197376,-0.8421690842217266,-1.0226660290775866,-1.1071366520614363,-1.1146850610314178,-0.8602223671929305,-0.7653592216221853,-0.7496002477444119,-0.6903569612999806,-0.7091340911809099,-0.9614036801907797,-1.0948326273471944,-1.1933103464336599,-0.10916943743235563,,
4,2.3044858922317424,0.06288053098342702,-0.1634106222092736,-0.2787781417919417,-0.31842778494417157,-0.4410824518695038,-0.6824006064540096,-0.815477435730559,-0.9072244935350632,-0.7203131890966382,-0.5655519771720596,-0.5294914810604348,-0.5140310731141138,-0.42922364377227123,-0.46802455052001823,-0.6632051449848289,-0.8006868657836494,0.11763650587721904,,,
5,2.314052925550991,0.1312251333503669,-0.026865999705677743,-0.14501478786077482,-0.2128373011785139,-0.34490816026918486,-0.5030916790587324,-0.6463035425332827,-0.5637493595070349,-0.47114274637921383,-0.3547373716805132,-0.27953005325335534,-0.33541771563770556,-0.22391830185809036,-0.21212555386992038,-0.41573186516926847,0.3365760731426744,,,,
6,2.317975223848078,0.21418530144907116,0.05220428168044002,-0.058798264878550985,-0.1528682364709555,-0.1905256732306964,-0.35134107074763765,-0.3574854651391095,-0.3435967983026783,-0.2880590699897392,-0.12661074007198186,-0.09827357096272321,-0.19050058064283748,0.010206120716975658,-0.018804824172616308,0.6106158276960892,,,,,
7,2.3126225115867296,0.297258687717578,0.13482762804074452,-0.006856182670763104,-0.01542844726042479,-0.031056818990992555,-0.11936689592384665,-0.15735835841034557,-0.1842776635493623,-0.08494648769844299,0.04762842834585738,0.04231580469336747,-0.018092454815671857,0.17990803682656223,0.8184946326363255,,,,,,
8,2.305567188526762,0.3684207594949351,0.16311642137380106,0.11096453960502745,0.1353636180854083,0.10442443338447328,0.05719651092013798,-0.025970140049039008,0.005661524339661113,0.053274812970504105,0.18727849061626695,0.22129347493377374,0.09164251577242467,1.0054821631349227,,,,,,,
9,2.3088887025503366,0.3729801328033797,0.28360059932086784,0.24193355685050116,0.2603243379312648,0.29096844209005773,0.17615170844076683,0.1696515331737498,0.13085891348774778,0.1753172345591017,0.3591625825586251,0.3392560171088966,0.9798728884517585,,,,,,,,
10,2.3049411312133863,0.46541485325104226,0.3974689038307105,0.35485989696059694,0.4196145254898058,0.41717419806126005,0.34920377702128974,0.2956216627340218,0.24777275231747817,0.3289623040340358,0.4652999671995371,1.100664352682506,,,,,,,,,
11,2.314883360574216,0.5594729851278211,0.5222810015213761,0.5057356726355379,0.5408226229273054,0.6028075999701621,0.478170264907269,0.4120905427613488,0.3931951181513395,0.41080676582747444,1.183042888794838,,,,,,,,,,
12,2.3315243505238192,0.6808217716131804,0.6610131627579293,0.6065340478410125,0.7127449959272156,0.747063220147951,0.5965240388752978,0.5457485788591121,0.4744431437723021,1.1866537939993695,,,,,,,,,,,
13,2.308488412478811,0.7708069151255735,0.7372947936043355,0.7745960078587881,0.8473030644036119,0.8729499235450779,0.7224876978162121,0.6273453973297641,1.231556495866203,,,,,,,,,,,,
14,2.2928779607245033,0.8317008411908768,0.8949653253113227,0.8932208507140237,0.9705444028976268,1.0113004298162749,0.8205080061885521,1.3164892934372876,,,,,,,,,,,,,
15,2.27896763877878,0.9519802678739062,1.00589383295629,1.0076593517330545,1.1110658525965658,1.1281880526371575,1.432821645464954,,,,,,,,,,,,,,
