task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,19,19,0.08047192543745041
syntax,2,16,17,0.1315336376428604
syntax,3,17,19,0.1640961468219757
syntax,4,8,11,0.19088545441627502
syntax,5,8,12,0.21595168113708496
syntax,6,8,13,0.2329392284154892
syntax,7,8,14,0.24907168745994568
syntax,8,8,15,0.2656106948852539
syntax,9,8,16,0.2819924056529999
syntax,10,8,17,0.2971648573875427
syntax,11,4,14,0.31468793749809265
syntax,12,8,19,0.3258873224258423
syntax,13,2,14,0.33794406056404114
syntax,14,1,14,0.3481198251247406
syntax,15,1,15,0.35684284567832947
