task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,9,9,0.09145648032426834
math,2,18,19,0.1456904113292694
math,3,17,19,0.18008413910865784
math,4,7,10,0.20284581184387207
math,5,8,12,0.2202535718679428
math,6,7,12,0.23146072030067444
math,7,6,12,0.2587389349937439
math,8,13,20,0.27533063292503357
math,9,2,10,0.28651294112205505
math,10,2,11,0.2981066107749939
math,11,7,17,0.3081653416156769
math,12,7,18,0.3156379163265228
math,13,7,19,0.3223828375339508
math,14,7,20,0.3290331959724426
math,15,6,20,0.34832483530044556
