block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.1452835202217102,0.1348230242729187,0.10214734077453613,0.11637124419212341,0.12018099427223206,0.12219491600990295,0.15225861966609955,0.12389936298131943,0.12632013857364655,0.10980872809886932,0.09738381206989288,0.08704029768705368,0.11841645836830139,0.0808173418045044,0.22578787803649902
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.1917048841714859,0.17821696400642395,0.16451311111450195,0.14694012701511383,0.15793778002262115,0.16168312728405,0.17728008329868317,0.17309564352035522,0.17255733907222748,0.16590489447116852,0.15048955380916595,0.13136932253837585,0.1448056697845459,0.14871402084827423,0.2511780560016632,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.22663550078868866,0.2125691920518875,0.19975852966308594,0.1836208701133728,0.1778804510831833,0.18770989775657654,0.19948792457580566,0.19591175019741058,0.1954774260520935,0.20788095891475677,0.19870172441005707,0.1764025092124939,0.18506474792957306,0.17199350893497467,0.2804955840110779,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.24447141587734222,0.24149127304553986,0.22910647094249725,0.20954670011997223,0.202754408121109,0.20299766957759857,0.21696504950523376,0.21597228944301605,0.214863121509552,0.2168845683336258,0.23831647634506226,0.2203022539615631,0.22607675194740295,0.2087922990322113,0.2953375279903412,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.2626517117023468,0.2549567222595215,0.2582593858242035,0.2350415289402008,0.22275562584400177,0.2193361222743988,0.23152782022953033,0.23247624933719635,0.2336863875389099,0.2363603115081787,0.23820681869983673,0.25742968916893005,0.26537248492240906,0.24846111238002777,0.3127523958683014,,,,
6,0.48846548795700073,0.299102246761322,0.284239798784256,0.27089226245880127,0.2705792486667633,0.2631708085536957,0.24573563039302826,0.2361849695444107,0.24625307321548462,0.24464578926563263,0.2490796595811844,0.25347083806991577,0.2565626800060272,0.25655582547187805,0.30287060141563416,0.28373101353645325,0.33870241045951843,,,,,
7,0.4880121946334839,0.3086896240711212,0.29123562574386597,0.28441059589385986,0.273083359003067,0.27313825488090515,0.25672757625579834,0.26294973492622375,0.2552682161331177,0.2605573534965515,0.26884302496910095,0.2727644145488739,0.273547887802124,0.2870378792285919,0.3197917640209198,0.3570248484611511,,,,,,
8,0.4891654849052429,0.3147341310977936,0.302777498960495,0.28694888949394226,0.2794985771179199,0.28357264399528503,0.27743417024612427,0.26823732256889343,0.2686365246772766,0.27906477451324463,0.28714367747306824,0.28885048627853394,0.30307435989379883,0.2997887432575226,0.38301515579223633,,,,,,,
9,0.4885139763355255,0.3257617652416229,0.30475789308547974,0.2922285497188568,0.2877294719219208,0.2931632697582245,0.2831946611404419,0.27788931131362915,0.2844791114330292,0.29749783873558044,0.30260902643203735,0.3180510103702545,0.31469324231147766,0.3729187250137329,,,,,,,,
10,0.489461213350296,0.3255394399166107,0.30955857038497925,0.30045512318611145,0.29970741271972656,0.30300816893577576,0.2921069264411926,0.29218733310699463,0.3006822466850281,0.313017338514328,0.3320784866809845,0.3285841941833496,0.37927496433258057,,,,,,,,,
11,0.4887491464614868,0.32889431715011597,0.3156089186668396,0.3093900680541992,0.30766522884368896,0.3127700686454773,0.30541640520095825,0.3061785101890564,0.31620290875434875,0.3397836983203888,0.3431391417980194,0.389756977558136,,,,,,,,,,
12,0.4889284372329712,0.3344673812389374,0.32523953914642334,0.31813904643058777,0.3151835501194,0.32713782787323,0.3188861012458801,0.3210906684398651,0.3402571678161621,0.35098302364349365,0.40028703212738037,,,,,,,,,,,
13,0.4882233738899231,0.3435215651988983,0.3324192762374878,0.3253074884414673,0.3288534879684448,0.34094658493995667,0.33281251788139343,0.3419312536716461,0.35029423236846924,0.4044548273086548,,,,,,,,,,,,
14,0.48992881178855896,0.3458021283149719,0.33613166213035583,0.33919602632522583,0.34166598320007324,0.3530477285385132,0.353423148393631,0.35111773014068604,0.4047558605670929,,,,,,,,,,,,,
15,0.48997238278388977,0.3501228094100952,0.3485490083694458,0.35157522559165955,0.35306480526924133,0.3760124444961548,0.36289021372795105,0.4052983224391937,,,,,,,,,,,,,,
