block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.13735151290893555,0.13680283725261688,0.09145648032426834,0.12300238758325577,0.13518483936786652,0.13378335535526276,0.1563037782907486,0.1432538479566574,0.15844260156154633,0.13866296410560608,0.10861347615718842,0.1048605814576149,0.10245269536972046,0.10327820479869843,0.21427080035209656
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.19056950509548187,0.1724228858947754,0.15535621345043182,0.14845384657382965,0.1694447100162506,0.17130114138126373,0.1883615404367447,0.1998770385980606,0.19071143865585327,0.19654405117034912,0.1692989319562912,0.15008759498596191,0.1456904113292694,0.1458246409893036,0.2384795844554901,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.22106951475143433,0.20929807424545288,0.18526969850063324,0.18138234317302704,0.18640318512916565,0.19399428367614746,0.21265852451324463,0.22352738678455353,0.21794991195201874,0.2167242169380188,0.21601198613643646,0.1959071308374405,0.18008413910865784,0.18029646575450897,0.2599153518676758,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.25134608149528503,0.23372703790664673,0.22073471546173096,0.20284581184387207,0.20421719551086426,0.20859484374523163,0.2285853624343872,0.2435552328824997,0.24018296599388123,0.23612776398658752,0.2317247986793518,0.2366909235715866,0.21681243181228638,0.20888985693454742,0.28216344118118286,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.26330259442329407,0.2600310742855072,0.24514572322368622,0.23068885505199432,0.22054651379585266,0.2202535718679428,0.23929788172245026,0.25622397661209106,0.2568182051181793,0.26062318682670593,0.24517600238323212,0.2479860931634903,0.2543879449367523,0.24035613238811493,0.3000933527946472,,,,
6,0.4847526550292969,0.2940486967563629,0.26724424958229065,0.27018460631370544,0.27101805806159973,0.2527428865432739,0.24724771082401276,0.23146072030067444,0.24763505160808563,0.26427382230758667,0.26816311478614807,0.273357629776001,0.269883930683136,0.2555433511734009,0.2624829113483429,0.27204862236976624,0.32350802421569824,,,,,
7,0.48510146141052246,0.29262545704841614,0.2747455835342407,0.27810531854629517,0.277091383934021,0.264655202627182,0.2587389349937439,0.25895968079566956,0.2692306339740753,0.27857303619384766,0.2841840088367462,0.282391756772995,0.27836957573890686,0.2659364640712738,0.2785944938659668,0.34076616168022156,,,,,,
8,0.47904032468795776,0.3013724386692047,0.28432443737983704,0.28297317028045654,0.28818273544311523,0.2760451138019562,0.28147175908088684,0.2789970636367798,0.2809147834777832,0.29468923807144165,0.29008594155311584,0.29017430543899536,0.2901526093482971,0.27533063292503357,0.3524754047393799,,,,,,,
9,0.4836409389972687,0.31034043431282043,0.28651294112205505,0.29433658719062805,0.3003561198711395,0.29531219601631165,0.2992505431175232,0.287451833486557,0.2966434955596924,0.30151474475860596,0.2989010810852051,0.30060189962387085,0.301143079996109,0.35719066858291626,,,,,,,,
10,0.48127904534339905,0.3061881959438324,0.2981066107749939,0.3045084774494171,0.31640854477882385,0.3113948106765747,0.3069719970226288,0.3029259741306305,0.3015696704387665,0.311139315366745,0.3080451786518097,0.30830979347229004,0.3739522397518158,,,,,,,,,
11,0.4798358380794525,0.3139714002609253,0.30824121832847595,0.3204813599586487,0.3291775584220886,0.31953340768814087,0.31854307651519775,0.3081653416156769,0.31088632345199585,0.320474237203598,0.3166486918926239,0.37656351923942566,,,,,,,,,,
12,0.4806251525878906,0.32380053400993347,0.3296253979206085,0.33171141147613525,0.33750712871551514,0.33140167593955994,0.3243551254272461,0.3156379163265228,0.3201271593570709,0.3300706744194031,0.3846595287322998,,,,,,,,,,,
13,0.4872714579105377,0.3437687158584595,0.34188932180404663,0.3390715420246124,0.34852465987205505,0.33722975850105286,0.3323199152946472,0.3223828375339508,0.32950541377067566,0.38992616534233093,,,,,,,,,,,,
14,0.48509281873703003,0.3520422577857971,0.34915775060653687,0.3503313660621643,0.354311466217041,0.3451865613460541,0.33799150586128235,0.3290331959724426,0.3907265067100525,,,,,,,,,,,,,
15,0.483564555644989,0.35788601636886597,0.36053767800331116,0.3543974459171295,0.3632085621356964,0.3510779142379761,0.34832483530044556,0.39262980222702026,,,,,,,,,,,,,,
