task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,9,9,0.07848571240901947
code,2,19,20,0.12500736117362976
code,3,9,11,0.1623717099428177
code,4,8,11,0.18964868783950806
code,5,7,11,0.2072441279888153
code,6,7,12,0.22569605708122253
code,7,6,12,0.24423354864120483
code,8,7,14,0.2701260447502136
code,9,3,11,0.28116291761398315
code,10,3,12,0.29211145639419556
code,11,3,13,0.3077629506587982
code,12,3,14,0.31955915689468384
code,13,3,15,0.33032429218292236
code,14,7,20,0.342960923910141
code,15,1,15,0.3533765375614166
