task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,16,16,0.07626808434724808
math,2,14,15,0.1114940494298935
math,3,14,16,0.1422438770532608
math,4,13,16,0.17181073129177094
math,5,12,16,0.2106301337480545
math,6,9,14,0.2445625513792038
math,7,9,15,0.25311413407325745
math,8,9,16,0.2632163465023041
math,9,8,16,0.30021509528160095
math,10,7,16,0.31583377718925476
math,11,6,16,0.3379895091056824
math,12,3,14,0.3516615033149719
math,13,3,15,0.3600976765155792
math,14,3,16,0.3699550926685333
math,15,1,15,0.3783666789531708
