task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,14,14,0.08925873041152954
math,2,13,14,0.1161125972867012
math,3,13,15,0.13914166390895844
math,4,11,14,0.14999419450759888
math,5,11,15,0.168114572763443
math,6,10,15,0.1823512315750122
math,7,9,15,0.1989697366952896
math,8,8,15,0.20931243896484375
math,9,7,15,0.22081345319747925
math,10,7,16,0.24044694006443024
math,11,7,17,0.2539587616920471
math,12,7,18,0.2633883059024811
math,13,7,19,0.27721232175827026
math,14,6,19,0.2985410690307617
math,15,11,25,0.3037005066871643
