task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,16,16,0.07870233803987503
syntax,2,13,14,0.13210058212280273
syntax,3,14,16,0.16396814584732056
syntax,4,13,16,0.20059512555599213
syntax,5,12,16,0.23957599699497223
syntax,6,9,14,0.26866936683654785
syntax,7,3,9,0.2898729741573334
syntax,8,9,16,0.2998960316181183
syntax,9,3,11,0.31664708256721497
syntax,10,2,11,0.3280283808708191
syntax,11,1,11,0.34116220474243164
syntax,12,1,12,0.3529287278652191
syntax,13,1,13,0.3621635437011719
syntax,14,1,14,0.37322577834129333
syntax,15,1,15,0.388202965259552
