task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,26,26,0.09099379926919937
code,2,15,16,0.12073390930891037
code,3,14,16,0.14091527462005615
code,4,13,16,0.15169170498847961
code,5,12,16,0.1687047928571701
code,6,12,17,0.18532033264636993
code,7,12,18,0.20060572028160095
code,8,9,16,0.21285952627658844
code,9,9,17,0.22420518100261688
code,10,9,18,0.23557007312774658
code,11,8,18,0.24487146735191345
code,12,7,18,0.25496602058410645
code,13,6,18,0.2705793082714081
code,14,7,20,0.2826530635356903
code,15,7,21,0.29392996430397034
