block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.39651361107826233,0.10127884149551392,0.08842016011476517,0.10469458997249603,0.11988498270511627,0.10868725925683975,0.10450724512338638,0.09683071076869965,0.10960783064365387,0.12532031536102295,0.12725721299648285,0.12242677062749863,0.12440041452646255,0.12246999889612198,0.11835501343011856,0.11268583685159683,0.10665298253297806,0.10966939479112625,0.10852217674255371,0.1140095666050911,0.10904950648546219,0.11269302666187286,0.12817279994487762,0.12692080438137054,0.12631644308567047,0.10806386917829514,0.09761418402194977,0.10220840573310852,0.10152389854192734,0.09651303291320801,0.09102753549814224,0.08706898987293243,0.09087023884057999,0.097069151699543,0.11567585170269012,0.1469259113073349
2,0.4159269630908966,0.14019232988357544,0.13832269608974457,0.1603275090456009,0.1641753762960434,0.15006819367408752,0.13918545842170715,0.1421942263841629,0.15734755992889404,0.1641562581062317,0.16520625352859497,0.16060934960842133,0.16511569917201996,0.15552890300750732,0.15578986704349518,0.14346498250961304,0.14222578704357147,0.14460307359695435,0.1484617292881012,0.14811266958713531,0.14869056642055511,0.1591961532831192,0.17306169867515564,0.1726359724998474,0.16050343215465546,0.1414734125137329,0.13939955830574036,0.13958896696567535,0.1380462944507599,0.13288457691669464,0.1254306137561798,0.12640687823295593,0.13166594505310059,0.15579403936862946,0.19174034893512726,
3,0.4237801730632782,0.1761547178030014,0.1836249828338623,0.19379489123821259,0.19392569363117218,0.17557811737060547,0.17264367640018463,0.17977575957775116,0.18405795097351074,0.19164900481700897,0.19160127639770508,0.1918502002954483,0.1890375018119812,0.1837124079465866,0.17701129615306854,0.16816234588623047,0.16725917160511017,0.17171147465705872,0.17249180376529694,0.1764484941959381,0.18248945474624634,0.19340544939041138,0.20544227957725525,0.1974637508392334,0.18622124195098877,0.17076930403709412,0.1677546501159668,0.16623032093048096,0.1638127565383911,0.15908010303974152,0.15499141812324524,0.16048313677310944,0.17501771450042725,0.21651150286197662,,
4,0.43017786741256714,0.21146921813488007,0.21145597100257874,0.21718239784240723,0.21326205134391785,0.2013072669506073,0.20276658236980438,0.2012709677219391,0.20689427852630615,0.21049432456493378,0.21676738560199738,0.20931415259838104,0.2113143801689148,0.1993924379348755,0.19631852209568024,0.1881857067346573,0.18974047899246216,0.1918342262506485,0.1962161362171173,0.20316652953624725,0.21128471195697784,0.21997764706611633,0.22593890130519867,0.2179097980260849,0.21064141392707825,0.19400745630264282,0.1907818466424942,0.18672265112400055,0.18482400476932526,0.1827344447374344,0.1836603581905365,0.19873683154582977,0.22913356125354767,,,
5,0.44001471996307373,0.23535162210464478,0.23288355767726898,0.2345929592847824,0.2338549643754959,0.22654980421066284,0.22138117253780365,0.22181867063045502,0.2221796214580536,0.23417498171329498,0.23058949410915375,0.22860345244407654,0.22450672090053558,0.21549420058727264,0.2128862738609314,0.20715561509132385,0.20647068321704865,0.2115522176027298,0.2187018096446991,0.22805191576480865,0.2344958484172821,0.23827971518039703,0.2422492355108261,0.23835569620132446,0.2292419821023941,0.21282416582107544,0.20867952704429626,0.20345740020275116,0.20431633293628693,0.20784232020378113,0.21690787374973297,0.24617022275924683,,,,
6,0.44701021909713745,0.25558337569236755,0.24972431361675262,0.25296542048454285,0.25428536534309387,0.24239541590213776,0.2402970790863037,0.23477131128311157,0.2446872591972351,0.24400804936885834,0.24760669469833374,0.24003608524799347,0.23905761539936066,0.2294459342956543,0.2294297218322754,0.2207120656967163,0.22377055883407593,0.2317401021718979,0.24107782542705536,0.24688518047332764,0.25113579630851746,0.25272271037101746,0.2604867219924927,0.25383424758911133,0.2460545003414154,0.22779728472232819,0.22362792491912842,0.22062592208385468,0.22509586811065674,0.23753748834133148,0.26064273715019226,,,,,
7,0.45193785429000854,0.2710827589035034,0.2667578458786011,0.27134186029434204,0.2678968906402588,0.25924479961395264,0.25317925214767456,0.2563264071941376,0.2527529299259186,0.2592686414718628,0.2577149569988251,0.2530074119567871,0.2508876323699951,0.24326203763484955,0.24092690646648407,0.23617732524871826,0.24196486175060272,0.25180721282958984,0.2575111985206604,0.26156699657440186,0.264408677816391,0.2694969177246094,0.2731941342353821,0.26779505610466003,0.25911399722099304,0.24065938591957092,0.23844696581363678,0.23743590712547302,0.24989372491836548,0.2781609296798706,,,,,,
8,0.4547540545463562,0.28614822030067444,0.28399837017059326,0.2831808626651764,0.28256699442863464,0.27083978056907654,0.27234968543052673,0.2630630135536194,0.2670113146305084,0.26828333735466003,0.26947781443595886,0.2634429931640625,0.2634572386741638,0.2531154453754425,0.2544812560081482,0.2521161139011383,0.26022210717201233,0.2665218412876129,0.2709636986255646,0.2728632688522339,0.28020361065864563,0.2811606824398041,0.2842235565185547,0.27828967571258545,0.2695215940475464,0.2537793517112732,0.2532711327075958,0.2570298910140991,0.2895171046257019,,,,,,,
9,0.45704159140586853,0.30145859718322754,0.29509711265563965,0.2965402603149414,0.2928321659564972,0.2880227267742157,0.2788541316986084,0.2763713300228119,0.2753720283508301,0.27889716625213623,0.2787284851074219,0.2749147415161133,0.271810919046402,0.26484930515289307,0.26806798577308655,0.2682131826877594,0.2728734016418457,0.2792108356952667,0.28126904368400574,0.287263959646225,0.2908278703689575,0.29086509346961975,0.29276832938194275,0.2863640785217285,0.2800268232822418,0.2660614550113678,0.27105575799942017,0.2960852086544037,,,,,,,,
10,0.4592491388320923,0.3118091821670532,0.30775320529937744,0.30539292097091675,0.30796578526496887,0.2936389446258545,0.29083701968193054,0.28410249948501587,0.2854904532432556,0.2869488000869751,0.28898105025291443,0.282014399766922,0.28178510069847107,0.2778414785861969,0.2826780378818512,0.27823203802108765,0.28456321358680725,0.2888954281806946,0.29474517703056335,0.29696956276893616,0.2997661828994751,0.29848816990852356,0.2982853055000305,0.29510757327079773,0.28978845477104187,0.2806430160999298,0.3079763948917389,,,,,,,,,
