task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,16,16,0.07626672089099884
math,2,14,15,0.11149504780769348
math,3,14,16,0.142251119017601
math,4,13,16,0.17177462577819824
math,5,12,16,0.21054475009441376
math,6,9,14,0.24442428350448608
math,7,9,15,0.252975732088089
math,8,9,16,0.2630845010280609
math,9,8,16,0.3001461625099182
math,10,7,16,0.31580430269241333
math,11,6,16,0.3379664123058319
math,12,3,14,0.35161715745925903
math,13,3,15,0.36006349325180054
math,14,3,16,0.3699341416358948
math,15,1,15,0.37833067774772644
