task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,16,16,0.07870285212993622
syntax,2,13,14,0.13214075565338135
syntax,3,14,16,0.16398459672927856
syntax,4,13,16,0.2006419152021408
syntax,5,12,16,0.23963485658168793
syntax,6,9,14,0.2686837911605835
syntax,7,3,9,0.28990352153778076
syntax,8,9,16,0.29988881945610046
syntax,9,3,11,0.3166617751121521
syntax,10,2,11,0.3280467987060547
syntax,11,1,11,0.3412017226219177
syntax,12,1,12,0.35296547412872314
syntax,13,1,13,0.36219322681427
syntax,14,1,14,0.3732503652572632
syntax,15,1,15,0.38821402192115784
