task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,16,16,0.08447626978158951
code,2,15,16,0.12211427092552185
code,3,14,16,0.16213469207286835
code,4,13,16,0.20604684948921204
code,5,12,16,0.2475464642047882
code,6,3,8,0.27136242389678955
code,7,3,9,0.2865488529205322
code,8,3,10,0.30339673161506653
code,9,3,11,0.3183075785636902
code,10,2,11,0.33222320675849915
code,11,1,11,0.34346750378608704
code,12,1,12,0.3573945164680481
code,13,1,13,0.3676130473613739
code,14,1,14,0.37631478905677795
code,15,1,15,0.387360155582428
