task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,11,11,0.1168893352150917
syntax,2,10,11,0.16955505311489105
syntax,3,10,12,0.21327634155750275
syntax,4,7,10,0.24784491956233978
syntax,5,7,11,0.266506552696228
syntax,6,7,12,0.28060993552207947
syntax,7,6,12,0.30626243352890015
syntax,8,2,9,0.3253714442253113
syntax,9,1,9,0.33621856570243835
syntax,10,1,10,0.3496222496032715
syntax,11,1,11,0.3618786633014679
syntax,12,1,12,0.378431499004364
syntax,13,1,13,0.42388665676116943
syntax,14,0,13,0.46880701184272766
