task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,12,12,0.126957505941391
code,2,4,5,0.18978413939476013
code,3,4,6,0.2222939133644104
code,4,4,7,0.24805299937725067
code,5,3,7,0.2646556794643402
code,6,7,12,0.28604358434677124
code,7,3,9,0.3036469519138336
code,8,3,10,0.32567697763442993
code,9,1,9,0.34035176038742065
code,10,1,10,0.35666966438293457
code,11,1,11,0.36947792768478394
code,12,1,12,0.38127437233924866
code,13,1,13,0.4208117425441742
code,14,0,13,0.47845906019210815
