task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,11,11,0.10811852663755417
math,2,11,12,0.1624019891023636
math,3,10,12,0.2006143033504486
math,4,8,11,0.24988794326782227
math,5,7,11,0.2651178240776062
math,6,7,12,0.27182209491729736
math,7,6,12,0.30006054043769836
math,8,5,12,0.3383687436580658
math,9,3,11,0.34926837682724
math,10,1,10,0.3638180196285248
math,11,1,11,0.3713694214820862
math,12,1,12,0.3849588930606842
math,13,1,13,0.4282279908657074
math,14,0,13,0.47510284185409546
