task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,26,26,0.08325818181037903
syntax,2,14,15,0.116948202252388
syntax,3,14,16,0.13471506536006927
syntax,4,13,16,0.14908084273338318
syntax,5,12,16,0.1629227250814438
syntax,6,11,16,0.17884309589862823
syntax,7,11,17,0.19384756684303284
syntax,8,9,16,0.20681042969226837
syntax,9,9,17,0.21749325096607208
syntax,10,8,17,0.22972597181797028
syntax,11,8,18,0.23947502672672272
syntax,12,7,18,0.251919686794281
syntax,13,8,20,0.2631453573703766
syntax,14,7,20,0.2733041048049927
syntax,15,7,21,0.2818624675273895
